,Cuisine,BusinessId,Name,Address,Coordinates,URL,NumberOfReviews,Rating,ZipCode
3108,indian,m9Q9x-Hcxp24gZCaTTJY-A,Sahib,"['104 Lexington Ave', 'New York, NY 10016']","{'latitude': 40.74232, 'longitude': -73.9830099}",https://www.yelp.com/biz/sahib-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,278,4.0,10016
3109,indian,FvnExtQHPfz_crDCBTQ1iQ,Mint Masala,"['95 Macdougal St', 'New York, NY 10012']","{'latitude': 40.729513, 'longitude': -74.001138}",https://www.yelp.com/biz/mint-masala-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,342,4.0,10012
3110,indian,BXoW0AUDE7WZJcY-Vhqlbg,Indian Table,"['234 Court St', 'Brooklyn, NY 11201']","{'latitude': 40.6859591, 'longitude': -73.9941661}",https://www.yelp.com/biz/indian-table-brooklyn-2?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,175,4.5,11201
3111,indian,3N3XesISm5tg_nsjL10eFA,Chapati House,"['3153 Broadway', 'New York, NY 10027']","{'latitude': 40.814613, 'longitude': -73.95959}",https://www.yelp.com/biz/chapati-house-new-york-2?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,230,4.0,10027
3112,indian,NKI1VvfXYluRjnq4S6yEuw,Divya's Kitchen,"['25 1st Ave', 'New York, NY 10003']","{'latitude': 40.72378, 'longitude': -73.98849}",https://www.yelp.com/biz/divyas-kitchen-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,450,4.5,10003
3113,indian,ZwER8TyQH70ACI-nIG682g,Chote Miya,"['55 Water St', 'Brooklyn, NY 11201']","{'latitude': 40.7034194804375, 'longitude': -73.9916073158383}",https://www.yelp.com/biz/chote-miya-brooklyn?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,34,4.0,11201
3114,indian,4Jr7xtN_KvSf6b2zWWW5Ng,Tikka Masala,"['10-57 Jackson Ave', 'Long Island City, NY 11101']","{'latitude': 40.74277, 'longitude': -73.95271}",https://www.yelp.com/biz/tikka-masala-long-island-city?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,25,3.5,11101
3115,indian,UtknyDJ_DPut-FKRqs0wpQ,Royal Grill Halal Food,"['44TH St And 6th Ave', 'New York, NY 10018']","{'latitude': 40.75621073292354, 'longitude': -73.98334948251191}",https://www.yelp.com/biz/royal-grill-halal-food-new-york-2?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,487,4.5,10018
3116,indian,Bb0h5Rs8ugSM2CjulRhfBw,Spicy Moon East Village,"['328 E 6th St', 'New York, NY 10003']","{'latitude': 40.72674, 'longitude': -73.98722}",https://www.yelp.com/biz/spicy-moon-east-village-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,574,4.5,10003
3117,indian,l_Td-NFRIdxu7m6pgJUqhQ,Manhattan Valley,"['2636 Broadway 100 St', 'New York, NY 10025']","{'latitude': 40.797005967886, 'longitude': -73.9697319902153}",https://www.yelp.com/biz/manhattan-valley-new-york-10?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,117,3.5,10025
